route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
80_3229_8_3,1,1691,Lincoln via City,,1,8013,5216,1,1
140_2178_2_3,1,2555,Mt Pleasant via Eastgate,,1,1404,4637,1,1
130_9280_5_3,1,3530,Avonhead,,1,9101,3321,1,1
Oc_3402_3_3,1,7803,Orbiter via St Martins,,1,89004,2210,1,1
135_5805_8_3,1,7574,The Palms via Prestons,,1,1351,4311,1,1
7_3740_6_3,1,11173,Halswell via City,,0,7009,5356,1,1
Oc_3402_3_3,1,7875,Orbiter via St Martins,,1,89001,2210,1,1
130_9280_5_3,1,3550,Avonhead,,1,1306,3321,1,1
1_0854_6_3,1,1330,Princess Margaret Hospital & Cashmere,,0,126,3310,1,1
3_9076_8_3,1,4124,Sheffield Cres via University,,1,3004,4202,1,1
7_3740_5_3,1,11003,Queenspark via City,,1,7006,5355,1,1
1_0854_5_3,1,1257,Rangiora Express,,1,131,4306,1,1
29_1687_1_3,1,2390,City via Fendalton,,0,2902,2150,1,1
5_9122_8_3,1,2883,Rolleston via City,,1,5008,5340,1,1
820_2945_6_3,1,3930,Lincoln,,0,8201,4340,1,1
125_6143_6_3,1,3711,Westlake & Halswell via Hornby,,0,2501,3403,1,1
8_8657_6_3,1,10036,Lyttelton via City & Colombo St,,0,80511,5342,1,1
5_9122_7_3,1,2809,New Brighton via City,,0,5008,4638,1,1
120_6279_6_3,1,4045,Spreydon & Barrington,,0,1201,5102,1,1
1_0854_6_3,1,1284,Princess Margaret Hospital,,0,118,2110,1,1
Oc_3402_3_3,1,7879,Orbiter via St Martins,,1,89006,2210,1,1
Oc_3402_3_3,1,7887,Orbiter via St Martins,,1,89004,2210,1,1
Oa_3402_4_3,1,7737,Orbiter via The Palms,,0,99001,4643,1,1
80_3229_7_3,1,1667,Parklands via City,,0,8007,4813,1,1
100_0432_7_3,1,4824,The Palms,,0,10001,5328,1,1
3_9076_8_3,1,4188,Sheffield Cres via University,,1,3010,4202,1,1
60_0264_8_3,1,3166,Hillmorton & Wigram via City,,1,6003,5209,1,1
8_8657_5_3,1,10085,Airport via Ara & City,,1,80520,5359,1,1
27_4175_5_3,1,10547,Northwood via City,,1,27009,4502,1,1
5_9122_7_3,1,2787,New Brighton via City,,0,5017,4638,1,1
3_9076_7_3,1,4224,Sumner via City,,0,3007,5337,1,1
Oc_3402_3_3,1,7825,Orbiter via St Martins,,1,89009,2210,1,1
27_4175_6_3,1,10530,Huntsbury via City,,0,27004,4404,1,1
3_9076_7_3,1,4254,Sumner via City,,0,3018,5337,1,1
Oa_3402_4_3,1,5670,Orbiter via The Palms,,0,99001,4643,1,1
3_9076_8_3,1,4174,Sheffield Cres via University,,1,3016,4202,1,1
125_6143_5_3,1,3749,Redwood via Hornby,,1,2503,4310,1,1
3_9076_8_3,1,4161,Airport via University,,1,3003,4203,1,1
60_0264_7_3,1,3224,Southshore via City,,0,6014,5003,1,1
130_9280_6_3,1,3511,Hei Hei & Hornby,,0,1307,5333,1,1
130_9280_6_3,1,3514,Hei Hei & Hornby,,0,1308,5333,1,1
29_1687_1_3,1,2371,City via Fendalton,,0,2901,2150,1,1
107_8882_2_3,1,7374,Styx Mill & Supa Centa,,1,10701,4309,1,1
7_3740_5_3,1,11092,Queenspark via City,,1,7007,5355,1,1
Oc_3402_3_3,1,7882,Orbiter via St Martins,,1,89004,2210,1,1
125_6143_5_3,1,3745,Redwood via Hornby,,1,2505,4310,1,1
120_6279_6_3,1,4044,Spreydon & Barrington,,0,1204,5102,1,1
27_4175_5_3,1,10568,Northwood via City,,1,27006,4502,1,1
F_0589_2_4,1,7022,Diamond Harbour,,1,5555,2207,1,1
Oc_3402_3_3,1,7851,Orbiter via St Martins,,1,89006,2210,1,1
27_4175_6_3,1,10516,Huntsbury via City,,0,27009,4404,1,1
7_3740_5_3,1,11060,Queenspark via City,,1,7012,5355,1,1
95_7946_1_3,1,1871,City & Ara Institute,,0,9511,5221,1,1
80_3229_7_3,1,1678,Parklands via City,,0,8007,4813,1,1
60_0264_7_3,1,3194,Southshore via City,,0,6003,5003,1,1
120_6279_6_3,1,4053,Spreydon & Barrington,,0,1206,5102,1,1
95_7946_1_3,1,1864,City & Ara Institute,,0,9504,5221,1,1
F_0589_2_4,1,7042,Diamond Harbour,,1,5555,2207,1,1
1_0854_5_3,1,1250,Belfast via City,,1,129,4402,1,1
95_7946_1_3,1,1866,City & Ara Institute,,0,9501,5221,1,1
